City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Pangnirtung,CA,66.1451,-65.7125,46.4,71,20,23.02,few clouds
80,Port Lincoln,AU,-34.7333,135.8667,57.09,77,98,13.85,overcast clouds
81,Gigmoto,PH,13.7796,124.39,80.28,84,98,2.51,overcast clouds
82,Tiksi,RU,71.6872,128.8694,34.38,81,100,17.49,overcast clouds
83,Broome,US,42.2506,-75.833,66.52,48,3,7.0,clear sky
84,Karymskoye,RU,51.6167,114.35,56.23,97,100,2.73,overcast clouds
85,Eydhafushi,MV,5.1033,73.0708,82.54,74,76,11.97,broken clouds
86,Miquelon,PM,47.0975,-56.3814,55.4,93,100,25.7,overcast clouds
87,Lorengau,PG,-2.0226,147.2712,80.08,72,11,2.82,few clouds
88,Baykit,RU,61.67,96.37,60.06,87,100,4.7,overcast clouds
89,Port Alfred,ZA,-33.5906,26.891,58.3,71,61,7.92,broken clouds
90,Sumenep,ID,-7.0167,113.8667,79.41,84,100,9.66,overcast clouds
91,Yelizavetinskoye,RU,45.0072,43.3494,67.91,53,2,2.64,clear sky
92,Husavik,IS,66.0449,-17.3389,52.3,92,83,6.64,broken clouds
93,Santa Fe,AR,-31.6333,-60.7,62.02,36,22,2.8,light rain
94,Helong,CN,42.5397,128.9972,62.51,95,85,3.4,overcast clouds
95,Provideniya,RU,64.3833,-173.3,42.91,81,40,11.18,fog
96,Sao Filipe,CV,14.8961,-24.4956,74.07,93,84,9.62,light rain
97,Imbituba,BR,-28.24,-48.6703,61.09,85,100,8.99,overcast clouds
98,Katangli,RU,51.7102,143.2326,45.73,94,100,9.93,overcast clouds
99,Show Low,US,34.2542,-110.0298,75.65,45,20,23.02,few clouds
100,Barrow,US,71.2906,-156.7887,44.26,70,34,8.41,scattered clouds
101,Shaoyang,CN,27.2315,111.4525,73.42,99,100,3.22,overcast clouds
102,Nome,US,64.5011,-165.4064,67.15,51,0,12.66,clear sky
103,Carahue,CL,-38.7,-73.1667,49.53,93,100,2.59,light rain
104,Bandarbeyla,SO,9.4942,50.8122,77.76,75,100,32.03,overcast clouds
105,Muscat,OM,23.6139,58.5922,89.42,63,2,5.88,clear sky
106,Bonnyville,CA,54.2668,-110.735,71.4,55,76,9.19,broken clouds
107,Atuona,PF,-9.8,-139.0333,77.65,77,21,15.01,few clouds
108,Ancud,CL,-41.8697,-73.8203,44.22,87,84,6.62,broken clouds
109,Upernavik,GL,72.7868,-56.1549,34.79,89,26,13.29,scattered clouds
110,Hami,CN,42.8,93.45,79.02,21,100,15.57,overcast clouds
111,Kodiak,US,57.79,-152.4072,48.33,87,100,6.69,light rain
112,Puerto Ayora,EC,-0.7393,-90.3518,75.16,94,77,5.01,broken clouds
113,Waynesville,US,35.4887,-82.9887,83.75,24,3,3.0,clear sky
114,Kununurra,AU,-15.7667,128.7333,55.38,82,100,1.14,overcast clouds
