City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Komsomolskiy,UZ,2022-06-18 19:09:45,40.4272,71.7189,77.58,35,100,3.96
68,Ancud,CL,2022-06-18 19:14:41,-41.8697,-73.8203,53.22,92,100,22.3
69,Chicama,PE,2022-06-18 19:14:42,-7.8447,-79.1469,64.94,57,35,10.18
70,Airai,TL,2022-06-18 19:14:42,-8.9266,125.4092,58.71,93,85,3.71
71,Sukhobezvodnoye,RU,2022-06-18 19:14:42,57.0491,44.8891,51.94,95,44,5.03
72,Vaini,TO,2022-06-18 19:09:44,-21.2,-175.2,77.16,88,75,10.36
73,Mecca,SA,2022-06-18 19:14:00,21.4267,39.8261,92.48,36,19,3.62
74,Vostok,RU,2022-06-18 19:10:30,46.4856,135.8833,51.44,98,100,5.73
75,Ust-Barguzin,RU,2022-06-18 19:14:43,53.45,108.9833,47.16,98,100,1.54
76,Cayenne,GF,2022-06-18 19:09:47,4.9333,-52.3333,84.24,13,40,12.66
77,Olafsvik,IS,2022-06-18 19:14:44,64.8945,-23.7142,49.24,70,100,11.9
78,Lakefield,US,2022-06-18 19:14:44,43.6775,-95.1717,88.09,48,0,16.11
79,Orlik,RU,2022-06-18 19:14:44,52.5178,99.825,47.71,78,9,1.19
80,New Norfolk,AU,2022-06-18 19:11:02,-42.7826,147.0587,47.91,87,97,1.21
81,Kerema,PG,2022-06-18 19:14:45,-7.9631,145.7785,78.26,86,100,3.91
82,Avarua,CK,2022-06-18 19:14:45,-21.2078,-159.775,75.25,64,75,8.05
83,Qaqortoq,GL,2022-06-18 19:10:58,60.7167,-46.0333,47.5,69,100,6.51
84,Izumo,JP,2022-06-18 19:14:46,35.3667,132.7667,68.05,94,0,6.44
85,Hilo,US,2022-06-18 19:05:11,19.7297,-155.09,81.25,77,75,5.99
86,Waingapu,ID,2022-06-18 19:14:46,-9.6567,120.2641,76.32,86,97,8.77
87,Pisco,PE,2022-06-18 19:14:46,-13.7,-76.2167,62.65,82,100,10.36
88,Port Hedland,AU,2022-06-18 19:15:47,-20.3167,118.5667,66.25,82,100,0.0
89,Nchelenge,ZM,2022-06-18 19:15:47,-9.3451,28.734,67.17,56,35,4.16
90,Sibu,MY,2022-06-18 19:15:48,2.3,111.8167,75.51,94,40,0.0
91,Qaanaaq,GL,2022-06-18 19:15:48,77.484,-69.3632,39.25,71,91,3.44
92,Chuy,UY,2022-06-18 19:10:52,-33.6971,-53.4616,53.38,41,0,11.41
93,Ushtobe,KZ,2022-06-18 19:15:48,45.2514,77.9838,69.69,29,0,6.96
94,Rioja,AR,2022-06-18 19:11:12,-29.4111,-66.8507,64.9,25,59,3.51
95,Viedma,AR,2022-06-18 19:15:49,-40.8135,-62.9967,53.78,35,43,15.1
96,Comodoro Rivadavia,AR,2022-06-18 19:15:02,-45.8667,-67.5,44.46,81,40,5.75
97,Vrangel,RU,2022-06-18 19:15:49,42.7297,133.0839,59.02,84,5,5.82
98,Redcliffe,AU,2022-06-18 19:15:50,-27.2307,153.0973,53.55,81,0,9.22
99,Santa Maria Del Oro,MX,2022-06-18 19:15:50,25.9333,-105.3667,87.15,17,7,9.26
100,Nyagan,RU,2022-06-18 19:15:51,62.1406,65.3936,64.65,77,91,3.49
101,Half Moon Bay,US,2022-06-18 19:15:51,37.4636,-122.4286,73.89,58,0,19.57
102,Mahebourg,MU,2022-06-18 19:09:46,-20.4081,57.7,69.26,79,13,4.63
103,Flinders,AU,2022-06-18 19:15:51,-34.5833,150.8552,52.38,81,27,10.76
104,Barrow,US,2022-06-18 19:09:38,71.2906,-156.7887,30.22,93,100,4.61
105,Port Alfred,ZA,2022-06-18 19:12:19,-33.5906,26.891,62.06,72,100,13.27
106,Port Hardy,CA,2022-06-18 19:15:52,50.6996,-127.4199,53.78,87,100,5.75
107,Ribeira Grande,PT,2022-06-18 19:12:54,38.5167,-28.7,70.2,78,40,13.8
108,Horadiz,AZ,2022-06-18 19:15:52,39.4488,47.3353,75.13,57,0,5.17
109,Lingyuan,CN,2022-06-18 19:15:53,41.24,119.4011,66.76,94,1,2.46
110,Kita,ML,2022-06-18 19:15:53,13.0349,-9.4895,87.17,45,28,4.05
111,Loiza,PR,2022-06-18 19:15:54,18.4313,-65.8802,91.63,60,20,18.41
112,Wanning,CN,2022-06-18 19:15:54,18.8003,110.3967,82.22,87,63,12.17
113,Buraydah,SA,2022-06-18 19:15:55,26.326,43.975,99.05,9,0,11.36
